comp,ivar,ipft,R2,RMSE,slope,reMSE,dNRMSE,sNRMSE,iNRMSE,f_SB,f_SDSD,f_LSC,varname,pft,var,dim,alg
som,1,2,0.9662671693686172,5.615918817435249,0.9919320472632969,8.04311650724435e-06,0.02522499436548757,0.18366499566161976,inf,0.003729991850866966,0.0022426352062118204,0.9940273729429212,carbon_02,TrEBF,Active,asp,XGBRegressor
som,1,3,0.9195279854795788,8.083382273206588,0.9107253471165441,1.918741404874134e-05,0.04126812031930826,0.28367589696768597,inf,0.0010183923385389804,0.031499444909930445,0.9674821627515304,carbon_03,TrDBF,Active,asp,XGBRegressor
som,1,4,0.9585931547987457,3.577431841264247,0.9527066298099012,9.87287677664622e-06,0.01747692036919082,0.20348671996288667,inf,3.145395325120974e-06,0.017544871338320486,0.9824519832663543,carbon_04,TeENF,Active,asp,XGBRegressor
som,1,5,0.8999702897071037,9.311236994820565,0.8425452184283079,2.3850670074605693e-05,0.03446258626586189,0.3162747386259236,inf,0.0022828588520053877,0.130055479846834,0.8676616613011606,carbon_05,TeEBF,Active,asp,XGBRegressor
som,1,6,0.9391121080323737,10.008040469573045,1.038723761027961,1.451785693076451e-05,0.03816897460536348,0.24675472025399306,inf,0.009714287661250725,0.07295915733207718,0.917326555006672,carbon_06,TeDBF,Active,asp,XGBRegressor
som,1,7,0.956853600937336,7.016437741844407,0.8725427500964745,1.0287648798918458e-05,0.03989377214708495,0.20771711307127302,inf,0.031006900891711868,0.29557676589364024,0.6734163332146479,carbon_07,BoENF,Active,asp,BaggingRegressor
som,1,8,0.9733745698535362,6.699238657160594,0.9367431099402017,6.3484573549031476e-06,0.03774485034466693,0.16317300679482438,inf,0.00659814827719112,0.09903571699885169,0.8943661347239572,carbon_08,BoDBF,Active,asp,XGBRegressor
som,1,9,0.9710878821193395,2.527913574855569,1.018714289414769,6.893685713080721e-06,0.03306172458486232,0.17003563709017164,inf,0.0033408234862284908,0.036737923362776564,0.959921253150995,carbon_09,BoDNF,Active,asp,XGBRegressor
som,1,10,0.9576684555729003,6.611579441932834,1.0045601459325153,1.0093358232498737e-05,0.03266553345841915,0.2057463108468769,inf,0.0067147467550635696,0.015078643037950848,0.9782066102069856,carbon_10,C3G,Active,asp,BaggingRegressor
som,1,11,0.9357698636905863,14.378659873954048,0.9821094912210226,1.531476783724694e-05,0.050227791239852465,0.25343665147214534,inf,0.0048876520378626,0.003038468111062487,0.992073879851075,carbon_11,C4G,Active,asp,BaggingRegressor
som,1,12,0.9820377473865335,4.201947704739202,0.9730729575265171,4.2828451629629156e-06,0.02543139923647034,0.13402332861657504,inf,0.002707308367017494,0.018308730005025635,0.978983961627957,carbon_12,C3C,Active,asp,XGBRegressor
som,1,13,0.9443802109163146,2.9850025413682926,0.9743783421558985,1.3261752285094267e-05,0.023072274343768226,0.23583848092218823,inf,0.00027495239440809214,8.530477485408597e-05,0.9996397428307378,carbon_13,C4C,Active,asp,BaggingRegressor
som,1,14,0.8132077510332792,2.4162658783110045,0.9611742298152184,4.453797066445415e-05,0.03162307641893265,0.4321946887303461,inf,0.0007726401922991197,0.015088629678785048,0.9841387301289158,carbon_14,_,Active,asp,XGBRegressor
som,1,15,0.9588262393710687,7.07280131985069,0.9582414013030048,9.817301056016038e-06,0.04749527299192999,0.20291318495586053,0.1761944808505988,0.0013629074274252196,0.011153185028633036,0.9874839075439418,carbon_15,_,Active,asp,XGBRegressor
som,2,2,0.9629849769936153,165.5404893063016,0.998899553792077,8.825708871336353e-06,0.028241329624048205,0.19239288709924976,inf,0.006490355704049271,0.007936816871753677,0.985572827424197,carbon_02,TrEBF,Passive,asp,XGBRegressor
som,2,3,0.9145295106166936,219.8032714978397,1.0614363652114198,2.037922970512789e-05,0.046276296543979245,0.29235336389941946,inf,0.03141275732230546,0.11242303723041727,0.8561642054472772,carbon_03,TrDBF,Passive,asp,BaggingRegressor
som,2,4,0.9614409310083729,95.37861132518688,0.9877720474747251,9.193864804870542e-06,0.016986785936043188,0.19636463274130364,inf,0.0005270280800093002,0.0012768858413410998,0.9981960860786495,carbon_04,TeENF,Passive,asp,XGBRegressor
som,2,5,0.8382505328251284,331.20380049196507,0.8460991291876135,3.8566873432253596e-05,0.045662832277639676,0.4021808886245984,inf,0.0005706649361154284,0.035669171916104116,0.9637601631477805,carbon_05,TeEBF,Passive,asp,BaggingRegressor
som,2,6,0.9295343915503984,285.37944960246466,1.0581662269605,1.680152800419686e-05,0.03986210226684919,0.26545359001076185,inf,0.01649369111871885,0.1120789212705646,0.8714273876107166,carbon_06,TeDBF,Passive,asp,XGBRegressor
som,2,7,0.9414454013482966,216.51230694257853,0.857246385013677,1.3961516130592132e-05,0.044910771815635415,0.24198057494704692,inf,0.03620366976090127,0.25408695084873995,0.7097093793903588,carbon_07,BoENF,Passive,asp,XGBRegressor
som,2,8,0.9648294501448755,187.37751217515572,0.9208594422326125,8.385920327878992e-06,0.04313068051846787,0.18753812907012932,inf,0.014349324396688715,0.11590040851215211,0.8697502670911592,carbon_08,BoDBF,Passive,asp,BaggingRegressor
som,2,9,0.9733319049072047,60.25694803712238,1.0122295105560295,6.358630208105712e-06,0.031611043060114107,0.16330368977091533,inf,0.0022882635164636674,0.023841354679022923,0.9738703818045135,carbon_09,BoDNF,Passive,asp,XGBRegressor
som,2,10,0.9518454093074908,181.23018615852175,0.9834648038722752,1.148178128099884e-05,0.034383832347384256,0.21944154276824876,inf,0.0009389747431528688,0.0011654450768739412,0.997895580179973,carbon_10,C3G,Passive,asp,XGBRegressor
som,2,11,0.9510841044067398,356.8372707407716,1.0217198145259363,1.1663303670305239e-05,0.04670426536261735,0.22116938213337795,inf,0.03398065841378797,0.040233222331589345,0.9257861192546226,carbon_11,C4G,Passive,asp,XGBRegressor
som,2,12,0.9794324134289192,113.7732872888013,0.9796012864778428,4.904050207696901e-06,0.026421141540813018,0.14341403896090787,inf,0.00023692802192239025,0.005027805024568338,0.9947352669535094,carbon_12,C3C,Passive,asp,XGBRegressor
som,2,13,0.9535709273074919,77.70271659756138,1.0147435571150565,1.1070355911422994e-05,0.021833871491887067,0.2154740650113327,inf,0.0020120564296173026,0.02983554223562206,0.9681524013347605,carbon_13,C4C,Passive,asp,BaggingRegressor
som,2,14,0.8677859322437474,51.66939393963524,0.8714304780504439,3.1524575049178006e-05,0.027237849430341424,0.36361252420159096,inf,0.0014445366525261823,0.03161023283542819,0.9669452305120456,carbon_14,_,Passive,asp,XGBRegressor
som,2,15,0.9567694527296232,187.26191468243795,0.9594032203614598,1.0307712749255315e-05,0.04966755423800457,0.20791956923381888,0.19349317400311522,0.0012908499904668456,0.008521624372294314,0.9901875256372388,carbon_15,_,Passive,asp,XGBRegressor
som,3,2,0.962634570323482,252.6318180229467,1.0075080847680626,8.909258387343354e-06,0.02851433860937632,0.1933013959507743,inf,0.011584843189525877,0.017601632004892096,0.970813524805582,carbon_02,TrEBF,Slow,asp,XGBRegressor
som,3,3,0.9133279216449962,340.1657446845443,1.0591810512713482,2.0665731605866417e-05,0.04696084774380557,0.29440122002974745,inf,0.03111863105839545,0.10746752757989671,0.8614138413617078,carbon_03,TrDBF,Slow,asp,XGBRegressor
som,3,4,0.966368890502631,137.70822969401192,0.9847170351233763,8.018862541098944e-06,0.015831097448671696,0.18338786627628603,inf,0.000358058637390339,6.918778276995077e-05,0.9995727535798397,carbon_04,TeENF,Slow,asp,XGBRegressor
som,3,5,0.8580328718172345,474.60799484003905,0.812850536544278,3.3850054406954104e-05,0.042902150260150644,0.3767852547310809,inf,0.0023962740424459277,0.10835461900258012,0.8892491069549741,carbon_05,TeEBF,Slow,asp,XGBRegressor
som,3,6,0.9301860256476894,437.37087275155034,1.0532414881505177,1.664615506731298e-05,0.039544029979592235,0.2642233418006643,inf,0.01667291381896543,0.1011540169299924,0.8821730692510421,carbon_06,TeDBF,Slow,asp,XGBRegressor
som,3,7,0.9424718174263194,336.188685288674,0.8548765039873502,1.3716781729537596e-05,0.045098811327769904,0.23985033369516223,inf,0.03650138084746255,0.2727090246052708,0.6907895945472667,carbon_07,BoENF,Slow,asp,XGBRegressor
som,3,8,0.968535278210731,277.75520262600986,0.9172152944810289,7.502318023192402e-06,0.04128713290294225,0.17738298055131707,inf,0.021699342141611677,0.154983264955613,0.8233173929027753,carbon_08,BoDBF,Slow,asp,XGBRegressor
som,3,9,0.9754699415905356,90.64321760157772,1.008239514250988,5.848845591193225e-06,0.03050272711495604,0.1566207470594633,inf,0.0016481755622554685,0.016764179310962433,0.9815876451267821,carbon_09,BoDNF,Slow,asp,XGBRegressor
som,3,10,0.9565369611686085,266.6355462379648,0.9906526361446516,1.0363147074723757e-05,0.03336719268089087,0.20847790969642666,inf,0.002098017556951292,0.0034601855527801343,0.9944417968902686,carbon_10,C3G,Slow,asp,XGBRegressor
som,3,11,0.9517939534985168,539.8760078472017,1.0272131982330297,1.1494050191102336e-05,0.04699995215419527,0.21955875409895,inf,0.03679792879574997,0.05025134145644052,0.9129507297478096,carbon_11,C4G,Slow,asp,XGBRegressor
som,3,12,0.9752361908725219,192.7219128941011,0.9919222493062966,5.9045801448445776e-06,0.029169611557158383,0.15736520939355741,inf,0.0006063385800155137,0.0007423038680372607,0.9986513575519473,carbon_12,C3C,Slow,asp,XGBRegressor
som,3,13,0.956029311851109,116.15550013699574,1.0063561022861456,1.0484188876702676e-05,0.021472775761484285,0.20969188861014873,inf,0.00148717590345011,0.01772706793936044,0.9807857561571894,carbon_13,C4C,Slow,asp,XGBRegressor
som,3,14,0.8674335022448391,79.55969987659006,0.8621587799042708,3.160860699932307e-05,0.027034518017777617,0.36409682469799287,inf,0.000893703707096791,0.04173702328111613,0.9573692730117872,carbon_14,_,Slow,asp,XGBRegressor
som,3,15,0.9640760179317653,267.50423347468984,0.9620246703934412,8.56556558613131e-06,0.045257841015334324,0.18953622890686284,0.17669124936960026,0.001237627263491027,0.011403914734358006,0.9873584580021509,carbon_15,_,Slow,asp,XGBRegressor
biomass,1,2,0.986009791719122,15.714803703585911,1.0092773892636178,3.335767353571307e-06,0.03430380238108463,0.11828021085912074,inf,0.010026453289990394,0.01846628935972596,0.9715072573502836,biomass_01,TrEBF,Leaf,pft,XGBRegressor
biomass,1,3,0.6991187307641318,20.07498338927147,0.8261743597496658,7.174088441484698e-05,0.10429476070143859,0.5485264526309267,inf,0.0037698468342764547,0.0019538351319695777,0.9942763180337539,biomass_01,TrDBF,Leaf,pft,BaggingRegressor
biomass,1,4,0.9786441377995222,9.801627305776556,1.0180134229846551,5.092003385903138e-06,0.019157547101955958,0.1461364506222789,inf,0.00059642088393038,0.03746228029677078,0.9619412988192989,biomass_01,TeENF,Leaf,pft,XGBRegressor
biomass,1,5,0.9894575378435314,4.599032845385314,0.9990629827840684,2.5137010387383263e-06,0.022908002487859392,0.10267649271604742,inf,2.3848104537734442e-05,0.0017740965392327348,0.9982020553562296,biomass_01,TeEBF,Leaf,pft,XGBRegressor
biomass,1,6,0.15837854509044846,21.015879298434374,0.6965953559996919,0.000200672736029936,0.10875666807009039,0.9173992887012458,inf,0.0003876732348201897,0.014659178805818802,0.984953147959361,biomass_01,TeDBF,Leaf,pft,XGBRegressor
biomass,1,7,0.9872313535642568,9.015483676287449,0.9749082832697108,3.0445032035629954e-06,0.02477348144305447,0.11299843554555611,inf,0.00117406277582146,0.027955929897983345,0.9708700073261951,biomass_01,BoENF,Leaf,pft,XGBRegressor
biomass,1,8,0.019228416387226166,2.459497992649639,0.021218583656349314,0.00023385111674124312,0.02257088234553847,0.9903391255589037,inf,0.0010945508667998675,0.7387824895025167,0.26012295963068355,biomass_01,BoDBF,Leaf,pft,XGBRegressor
biomass,1,9,1.0,0.0,1.0,,,,,,,,biomass_01,BoDNF,Leaf,pft,NoneType
biomass,1,10,0.49351536892646286,7.674532780352226,0.47448761942474427,0.0001207640989684161,0.07903884160522891,0.7116773363495126,inf,0.014374972376980315,0.2157132961718004,0.7699117314512193,biomass_01,C3G,Leaf,pft,BaggingRegressor
biomass,1,11,0.8657038703641922,8.605058233921058,0.9426354792755695,3.2021013265571717e-05,0.10818843128034078,0.3664643633913232,inf,0.0003609738651531218,0.0007023710436403683,0.9989366550912064,biomass_01,C4G,Leaf,pft,BaggingRegressor
biomass,1,12,0.780624527323767,5.398349802030844,0.7720417379931764,5.230697965575418e-05,0.05054285176030937,0.46837535447142503,inf,0.004189498898062045,0.07325017229143553,0.9225603288105025,biomass_01,C3C,Leaf,pft,XGBRegressor
biomass,1,13,0.5849536693499159,4.266838299791464,0.9606321519587874,9.896192910111686e-05,0.0288997212387038,0.644240894891099,inf,0.0018067182942588474,0.058382591798017,0.9398106899077241,biomass_01,C4C,Leaf,pft,XGBRegressor
biomass,1,14,0.2104382924251278,3.9456387588452047,0.15268424023541372,0.00018825982536358423,0.049464342034458424,0.8885728487720476,inf,0.00410473639811595,0.6156385238609335,0.3802567397409505,biomass_01,_,Leaf,pft,XGBRegressor
biomass,1,15,0.05828015924887231,2.027157314278045,0.048086956911022286,0.00022453978081810389,0.031774721476888056,0.9704225063090446,956.137659596804,0.0019618725411041336,0.6969475937000769,0.301090533758819,biomass_01,_,Leaf,pft,XGBRegressor
biomass,2,2,0.9744350187336747,32.80519237533693,0.9534097529924598,6.095608313382285e-06,0.03703534928171763,0.15989052900758477,inf,0.011532854665199639,0.0466985488956001,0.9417685964392003,biomass_02,TrEBF,SapAB,pft,XGBRegressor
biomass,2,3,0.9522384406609661,27.159274103005565,0.9405916448170256,1.1388068511929886e-05,0.03496361128729055,0.21854418166364883,inf,0.00034295542512342966,0.027422951637712363,0.9722340929371642,biomass_02,TrDBF,SapAB,pft,XGBRegressor
biomass,2,4,0.9616065622971328,8.959070996019062,0.9037640218118334,9.154372365967373e-06,0.024236400074803592,0.19594243466607011,inf,0.005839402800652911,0.1682908461754006,0.8258697510239466,biomass_02,TeENF,SapAB,pft,XGBRegressor
biomass,2,5,0.9699923873621134,18.425442070967396,0.9636727974677407,7.154890948470833e-06,0.019155330857336138,0.17322705515561557,inf,0.001479349249530287,0.015516982509648485,0.9830036682408212,biomass_02,TeEBF,SapAB,pft,BaggingRegressor
biomass,2,6,0.9589742383250025,22.779948505061775,0.9638018468154264,9.782012798044224e-06,0.027128596985619192,0.20254817124574953,inf,9.668016211864903e-05,0.006094411304979749,0.9938089085329015,biomass_02,TeDBF,SapAB,pft,XGBRegressor
biomass,2,7,0.9609098805937281,6.692985632361233,0.9195116876378686,9.320486267589865e-06,0.02214919130869938,0.19771221359913982,inf,0.01162724056781514,0.10206859006891678,0.8863041693632681,biomass_02,BoENF,SapAB,pft,BaggingRegressor
biomass,2,8,0.9438406422757332,7.375728739283453,0.896117364710781,1.3390404798346895e-05,0.02912416970975042,0.23697965677303798,inf,0.01423495792893179,0.1121197708420486,0.8736452712290197,biomass_02,BoDBF,SapAB,pft,XGBRegressor
biomass,2,9,0.9478407359755712,0.7170643963828361,0.9421077845811199,1.243663901393153e-05,0.025731477669033064,0.2283840275159995,inf,8.127027661550398e-05,0.020048555641030703,0.9798701740823539,biomass_02,BoDNF,SapAB,pft,XGBRegressor
biomass,2,10,0.09292931047405173,9.000288615185905,0.6031823537822022,0.00021627818062135154,0.06258058367371935,0.9524025879458479,inf,4.349810034870464e-06,0.0033583100148221997,0.9966373401751429,biomass_02,C3G,SapAB,pft,XGBRegressor
biomass,2,11,0.8503762443653122,28.333887724173753,0.8442813504805904,3.567566896392174e-05,0.06278669054886916,0.38681230026291535,inf,0.0031977730481943752,0.04798842137994368,0.9488138055718619,biomass_02,C4G,SapAB,pft,XGBRegressor
biomass,2,12,0.8952412432779212,5.036078002808739,0.8584956468778872,2.4978244330490888e-05,0.022848088178991584,0.32366457440084295,inf,0.0009857080399498612,0.08354527645519601,0.9154690155048543,biomass_02,C3C,SapAB,pft,XGBRegressor
biomass,2,13,0.48258249405052545,11.91073500322885,0.8738694907989999,0.0001233708883999701,0.02237780998971856,0.7193173888830121,inf,0.0016642719520194942,0.02991312254075929,0.9684226055072211,biomass_02,C4C,SapAB,pft,XGBRegressor
biomass,2,14,0.5847583031904353,1.6874175670560223,0.5901104052783777,9.900851139951469e-05,0.03432973730571998,0.6443925021363646,inf,8.348293499621156e-05,0.12558570714808862,0.8743308099169151,biomass_02,_,SapAB,pft,BaggingRegressor
