comp,ivar,ipft,R2,RMSE,slope,reMSE,dNRMSE,sNRMSE,iNRMSE,f_SB,f_SDSD,f_LSC,varname,pft,var,dim,alg
som,1,2,0.8783612148873692,8.937046441507366,0.9791398707010586,0.00010290929366550829,0.05312360885069795,0.348767523018745,inf,0.006106457347340576,0.012397912623292052,0.9814956300293673,carbon_02,PFT02,Active,asp,XGBRegressor
som,1,3,0.8846434683948391,6.185765384921021,1.0008624756111046,9.759435838000078e-05,0.042116681203451585,0.339641769523657,inf,0.011932592882081764,0.027447443725436036,0.9606199633924822,carbon_03,PFT03,Active,asp,MLPRegressor
som,1,4,0.9740885828424486,6.116764522768212,0.9863068310313653,2.192167272212468e-05,0.028875433963510506,0.16097023686865647,inf,0.0006383406271469464,2.1478143806741712e-05,0.9993401812290464,carbon_04,PFT04,Active,asp,XGBRegressor
som,1,5,0.812902521625798,11.804248626955888,0.7224310135268865,0.00015828889879374115,0.03782727915932397,0.43254766023433994,inf,0.005352530590561863,0.22608904201316596,0.7685584273962722,carbon_05,PFT05,Active,asp,MLPRegressor
som,1,6,0.9751896283339617,9.117926369308261,1.0096786381555316,2.0990162154008683e-05,0.03431782351998504,0.15751308411061687,inf,0.004581948878539604,0.019136604604930395,0.9762814465165299,carbon_06,PFT06,Active,asp,XGBRegressor
som,1,7,0.9536750511380633,8.526611808615845,0.8989103149942307,3.9192004113313646e-05,0.048780360485740255,0.21523231370297707,inf,0.020563172078889184,0.1442457851555265,0.8351910427655844,carbon_07,PFT07,Active,asp,BaggingRegressor
som,1,8,0.9612393340735548,9.351153039945196,0.925756332848234,3.279244156213645e-05,0.051065889750518276,0.19687728646658376,inf,0.010113821615863468,0.08283910157843799,0.9070470768056986,carbon_08,PFT08,Active,asp,BaggingRegressor
som,1,9,-0.16723210701709412,12.262598549425626,0.0,0.021222401945765346,0.27408888599632314,1.080385166048245,1.0253252903641636,0.14327236717679245,0.8567276328232077,-1.8901017048014648e-16,carbon_09,PFT09,Active,asp,NoneType
som,1,10,0.9521943466424553,10.717000526152386,0.96741101007285,4.0444715192508265e-05,0.05266556463076862,0.218645039636267,0.9961699094306149,0.002868451226423361,0.0016174591909867992,0.9955140895825899,carbon_10,PFT10,Active,asp,XGBRegressor
som,1,11,0.9700760961227393,6.692264550829779,1.0316821140380312,2.5316331537445585e-05,0.025930160645823895,0.17298527069453248,inf,0.007983973764342745,0.06915323934559543,0.9228627868900618,carbon_11,PFT11,Active,asp,XGBRegressor
som,1,12,0.96486473649529,8.095587938421836,1.014505595748787,2.9725265232411115e-05,0.048711792873787914,0.18744402765815169,inf,0.010228218664642356,0.02806280973346649,0.9617089716018912,carbon_12,PFT12,Active,asp,MLPRegressor
som,1,13,0.9066804714839636,3.260831715153375,1.162505559040217,7.895053173945556e-05,0.031478640756393055,0.30548245205909363,inf,0.0082733517596328,0.38934185333637755,0.6023847949039896,carbon_13,PFT13,Active,asp,XGBRegressor
som,1,14,0.8372063651522019,1.5997595704545202,0.9772524378243665,0.00013772727144483759,0.021149470576776238,0.4034769322375172,inf,0.00034819214051205185,0.0199554067516008,0.9796964011078871,carbon_14,PFT14,Active,asp,XGBRegressor
som,1,15,0.9391953133936711,9.176887800185954,0.9047968228645485,5.1442205250701234e-05,0.05523092989258098,0.24658606328486785,0.18247853928726582,0.0025547971010601686,0.07411739604751832,0.9233278068514215,carbon_15,PFT15,Active,asp,MLPRegressor
