comp,ivar,ipft,R2,RMSE,slope,reMSE,dNRMSE,sNRMSE,iNRMSE,f_SB,f_SDSD,f_LSC,varname,pft,var,dim,alg
som,1,2,0.9999087572584087,0.45843731790988973,0.9998855010282974,1.6063862956222655e-07,0.0023594696441834708,0.00955210665724293,0.005586013998408442,0.0001361072663897222,5.200749254584237e-05,0.9998118852410645,carbon_02,PFT02,Active,asp,XGBRegressor
som,1,3,0.9999852065859515,0.15684677439790762,1.0001812389473639,2.6044743043255958e-08,0.0007981501026137264,0.0038462207488090677,0.010364740667037395,0.0021021142014009675,0.00240450480767727,0.9954933809909217,carbon_03,PFT03,Active,asp,BaggingRegressor
som,1,4,0.9999796961510444,0.11335161298140663,0.9996008347183868,3.5746212949874926e-08,0.0005672297102003981,0.004505979244906589,inf,5.521858666255142e-05,0.007456257546869776,0.9924885238664677,carbon_04,PFT04,Active,asp,BaggingRegressor
som,1,5,0.9999922228116973,0.10660048955832603,1.0000748306408982,1.3692232927365217e-08,0.0005135909424776074,0.00278876106949725,inf,0.00012153533934298719,0.0007967089874002328,0.9990817556732567,carbon_05,PFT05,Active,asp,XGBRegressor
som,1,6,0.9998437607121102,0.728757600244833,0.9982623094667966,2.750691688199759e-07,0.0027370086448791284,0.012499571508245646,inf,0.002645201090349495,0.01766164872427943,0.9796931501853711,carbon_06,PFT06,Active,asp,XGBRegressor
som,1,7,0.9998749468738305,0.32996718078540377,0.9994219332784617,2.2016395452376955e-07,0.0018771334908378686,0.011182715509638126,inf,3.686253117824385e-07,0.002126446546272357,0.9978731848284159,carbon_07,PFT07,Active,asp,XGBRegressor
som,1,8,0.9999461025149066,0.3000557375389412,0.9991079162360371,9.488993854479757e-08,0.0017853250345989612,0.007341490658813441,inf,0.002956309772053026,0.013901295337416651,0.9831423948905303,carbon_08,PFT08,Active,asp,XGBRegressor
som,1,9,0.9999992108929251,0.00876177132817076,1.0004991011910156,1.3892730191733065e-09,0.0001309399730950222,0.0008883169900944358,inf,0.011656046315658164,0.31601144067396847,0.6723325130103733,carbon_09,PFT09,Active,asp,MLPRegressor
som,1,10,0.9999333119820991,0.31992145846143816,1.0008221334984677,1.1740848221978978e-07,0.0018323403659513669,0.008166273195334611,0.0350371972570124,0.002616642147883227,0.010962498247969842,0.9864208596041469,carbon_10,PFT10,Active,asp,XGBRegressor
som,1,11,0.9999283460393754,0.6091175232736283,1.000877194328858,1.2615133912780675e-07,0.0023505770346582645,0.008464866249657713,0.014389112633339932,0.004908404919635323,0.01161871617092908,0.9834728789094357,carbon_11,PFT11,Active,asp,XGBRegressor
som,1,12,0.9999900964809527,0.11545924464480739,0.9997903927014097,1.743577297054291e-08,0.0006866225163824564,0.0031469857081449183,inf,5.917843248073161e-05,0.004230070484565298,0.995710751082954,carbon_12,PFT12,Active,asp,BaggingRegressor
som,1,13,0.9999993234883323,0.013896798523266439,0.9998429212259885,1.191041668497182e-09,0.00013192679346431884,0.000822503293431947,inf,0.0016096149279158287,0.03632104725260856,0.9620693378194757,carbon_13,PFT13,Active,asp,MLPRegressor
som,1,14,0.9998807399773381,0.10060715859418554,1.0001805965611137,2.0996482863022232e-07,0.0013318509206380806,0.010920623730445356,inf,0.0001322393540821281,0.0004837426544054023,0.9993840179915126,carbon_14,PFT14,Active,asp,XGBRegressor
som,1,15,0.9999731534505059,0.15790039758129865,0.9998422720446886,4.726505192626129e-08,0.0012572024759592167,0.005181365601278915,0.014132035212040999,0.00195559032827238,0.0007760559623202839,0.9972683537094073,carbon_15,PFT15,Active,asp,BaggingRegressor
som,2,2,0.9999940258532344,3.307250760478716,0.9999509782079772,1.0517864024040992e-08,0.0006091875649797009,0.002444206776370462,0.0014102736550312793,1.3269139829472667e-07,0.00035474403325801103,0.9996451232753437,carbon_02,PFT02,Passive,asp,BaggingRegressor
som,2,3,0.9998088390871688,14.909393223393906,1.0009692261624046,3.3655090287196485e-07,0.0035123761265160756,0.013826095357376791,0.042558551814808235,0.0013054983413260863,0.005923502547147918,0.992770999111526,carbon_03,PFT03,Passive,asp,XGBRegressor
som,2,4,0.9999915915468528,2.0311661341581204,0.999731804653538,1.4803614695823153e-08,0.0003617830056260783,0.0028997332889815143,inf,1.092855063201643e-05,0.008290435635231014,0.9916986358141369,carbon_04,PFT04,Passive,asp,BaggingRegressor
som,2,5,0.9999912650110585,3.247754541104082,0.9996830855188165,1.5378501657616466e-08,0.0005438234333453936,0.0029555014703982387,inf,0.0015633797619653128,0.011187241685092334,0.9872493785529424,carbon_05,PFT05,Passive,asp,BaggingRegressor
som,2,6,0.9999261690710194,13.53949052391593,1.0000641063142024,1.2998402989548782e-07,0.0018346471058702542,0.008592492594156662,inf,0.001078228146461696,0.00013810377136708657,0.9987836680821712,carbon_06,PFT06,Passive,asp,XGBRegressor
som,2,7,0.999921058272106,6.946936521156735,1.0004125649978872,1.3898191530637084e-07,0.0014441185732522246,0.008884915750530143,inf,6.314861525261851e-08,0.0025872768224286516,0.9974126600289561,carbon_07,PFT07,Passive,asp,XGBRegressor
som,2,8,0.9999857014759052,3.803328296149537,0.9992282965759468,2.5173457913506167e-08,0.000923903206567811,0.003781338928854633,inf,0.003208044947045862,0.04091509839148825,0.9558768566614659,carbon_08,PFT08,Passive,asp,BaggingRegressor
som,2,9,0.9999991168397938,0.23135835505739627,0.9999832189487662,1.5548595178401939e-09,0.00014021770295063579,0.0009397660379760646,inf,1.586208964394977e-07,0.0003023037947637778,0.9996975375843398,carbon_09,PFT09,Passive,asp,XGBRegressor
som,2,10,0.9999491166828478,7.385165299912976,1.0000624722618707,8.95833048454501e-08,0.0016196777903594772,0.007133254317085272,0.031075779261665847,0.00025341712443633117,0.0001518581139791266,0.9995947247615845,carbon_10,PFT10,Passive,asp,XGBRegressor
som,2,11,0.9999950970388489,4.616821267005864,0.9999003655253221,8.631973857550235e-09,0.0006251702354407666,0.0022142631169507687,0.004955669856117829,3.6248135207612206e-05,0.0019264826469492702,0.998037269217843,carbon_11,PFT11,Passive,asp,BaggingRegressor
som,2,12,0.9998854830010414,10.085201511164271,1.0008773359213614,2.0161443478631782e-07,0.002302934444845265,0.010701261559210137,inf,0.001041366541066699,0.007619305954339764,0.9913393275045935,carbon_12,PFT12,Passive,asp,XGBRegressor
som,2,13,0.9999957881916186,0.9899826923729924,1.0004660048259548,7.4151556010374165e-09,0.00035118691728327556,0.0020522690811365972,inf,0.001877940865144895,0.052001757893224775,0.9461203012416304,carbon_13,PFT13,Passive,asp,XGBRegressor
som,2,14,0.9999356062804857,1.871365836434596,1.0001597545780314,1.1336922449705849e-07,0.0008919368110801514,0.008024569740137426,inf,0.00021303123463196316,0.0005720379497275492,0.9992149308156405,carbon_14,PFT14,Passive,asp,XGBRegressor
som,2,15,0.9999634466370679,4.750693932212368,1.000145425612648,6.435451220442092e-08,0.0015035324863945073,0.006045937721487964,0.019218342289606234,0.0033926633709177706,0.0007324568919313581,0.9958748797371508,carbon_15,PFT15,Passive,asp,BaggingRegressor
som,3,2,0.9999984603463337,1.811116252312301,0.9999881222199333,2.710657863353698e-09,0.00033001673864785407,0.0012408278149626162,0.00068735352273156,1.031413457981018e-05,8.014021249845252e-05,0.9999095456529218,carbon_02,PFT02,Slow,asp,BaggingRegressor
som,3,3,0.9999828885982001,5.387915132125605,1.0001343716754494,3.0125707394209905e-08,0.0010547373514364915,0.004136593018404303,0.007427577476016314,0.0009195663769398882,0.001193535602030599,0.9978868980210295,carbon_03,PFT03,Slow,asp,BaggingRegressor
som,3,4,0.9999912921984023,2.1416824370528253,1.0000882134697777,1.533063661558079e-08,0.000422321745987463,0.0029508984390605327,inf,0.00047434354496879156,0.0009838927329392443,0.9985417637220919,carbon_04,PFT04,Slow,asp,BaggingRegressor
som,3,5,0.9998372760165377,12.950667381127476,1.0010727678332514,2.8648588637718327e-07,0.0022888291635252845,0.012756331112911742,inf,0.001039795820485513,0.00817510477548072,0.9907850994040339,carbon_05,PFT05,Slow,asp,XGBRegressor
som,3,6,0.9999961471904854,3.32115460653283,0.9996432312585393,6.7831153427239305e-09,0.00046506190446313726,0.001962857487100679,inf,0.0011023815420108359,0.03269284154167629,0.9662047769163128,carbon_06,PFT06,Slow,asp,BaggingRegressor
som,3,7,0.9999970267370628,1.6261719679803948,1.0004086238624146,5.234617847069296e-09,0.000359627471716575,0.0017243152081726125,inf,0.0073094414314126156,0.0565415074462153,0.9361490511223721,carbon_07,PFT07,Slow,asp,BaggingRegressor
som,3,8,0.9999921655061909,3.7658405774043713,1.0002759691102467,1.3793122903347392e-08,0.00071461446940828,0.00279901657892577,inf,0.0039316732111375945,0.009995009226653471,0.986073317562209,carbon_08,PFT08,Slow,asp,BaggingRegressor
