comp,ivar,ipft,R2,RMSE,slope,reMSE,dNRMSE,sNRMSE,iNRMSE,f_SB,f_SDSD,f_LSC,varname,pft,var,dim,alg
som,1,2,0.9999992279541342,0.02504133898869207,0.9999120279022036,5.757239864353233e-10,0.0001292839001196044,0.0008786614056676032,inf,0.0008059353736003375,0.009937294310869005,0.9892567703155306,carbon_02,PFT02,Active,asp,BaggingRegressor
som,1,3,0.9998895886449499,0.2954869396018786,0.9987569845335778,8.233508952281578e-08,0.0015091106739385874,0.010507680764569123,inf,0.0010068580853788596,0.012794904507460762,0.9861982374071604,carbon_03,PFT03,Active,asp,XGBRegressor
som,1,4,0.9999963923232256,0.04406931523463637,1.0003069769883235,2.6902884224151815e-09,0.00022080635354935108,0.001899388526462861,inf,0.0021581521296797222,0.0264197078509112,0.9714221400194091,carbon_04,PFT04,Active,asp,XGBRegressor
som,1,5,0.999999455430595,0.0226428739311541,0.999960682772968,4.060920245798454e-10,7.256017220843871e-05,0.0007379494596255036,inf,5.519391404145466e-05,0.002799584788220655,0.9971452212977379,carbon_05,PFT05,Active,asp,BaggingRegressor
som,1,6,0.9999565444969044,0.31292638550314833,0.9995135957283506,3.240529686475322e-08,0.0011777845134385055,0.006592078814428273,inf,0.00023276922346854138,0.004971277508156323,0.9947959532683752,carbon_06,PFT06,Active,asp,XGBRegressor
som,1,7,0.9999986797845796,0.05090231636731853,0.9999405051953155,9.84500686365944e-10,0.0002629224040493303,0.0011490062751859673,0.004815521118042052,1.9456231138466073e-06,0.0026220913179779435,0.9973759630589082,carbon_07,PFT07,Active,asp,BaggingRegressor
som,1,8,0.9999943438995592,0.12286233903403658,0.9998584578549077,4.217822849187146e-09,0.0007088492066304789,0.00237825575596065,0.0016184359283414652,6.379557489388313e-05,0.003402400633456171,0.9965338037916499,carbon_08,PFT08,Active,asp,BaggingRegressor
som,1,9,0.9999534309334791,0.13142949144299837,1.0013689214000767,3.472711895670829e-08,0.0015886494186765137,0.0068241531724416785,inf,0.006713981074085331,0.041553533396051896,0.9517324855298628,carbon_09,PFT09,Active,asp,XGBRegressor
som,1,10,0.9998686102452599,0.41204626048094734,0.999363381627164,9.797893716643147e-08,0.0023969008981832617,0.011462537011507732,inf,3.446356732593293e-07,0.002482232284364377,0.9975174230799625,carbon_10,PFT10,Active,asp,XGBRegressor
som,1,11,0.9999775998274296,0.2244812116324224,0.999783125648462,1.6704080962271364e-08,0.0008913171977924083,0.004732882057521179,inf,0.001118676044891133,0.0018890819501224739,0.9969922420049864,carbon_11,PFT11,Active,asp,XGBRegressor
som,1,12,0.9999993856769603,0.029623798084246523,1.0001250440949412,4.5810815786084425e-10,0.00018131025094377993,0.0007837876240994063,inf,0.003623460570008268,0.025573986613320814,0.9708025528166708,carbon_12,PFT12,Active,asp,BaggingRegressor
som,1,13,0.9999999993492645,0.00026834114358090103,1.0000064232246142,4.852613267685449e-13,2.590447835651513e-06,2.550951663980756e-05,inf,0.0010363238421362863,0.06340783444906996,0.9355558417087937,carbon_13,PFT13,Active,asp,XGBRegressor
som,1,14,0.9999892641276117,0.017706227142918963,1.0000642688742025,8.005870535672231e-09,0.00023408350660998744,0.0032765641132650627,inf,5.9279446009796135e-06,0.00045165805780277083,0.9995424139975961,carbon_14,PFT14,Active,asp,XGBRegressor
som,1,15,0.9996120765594378,0.7935076475295986,1.0002073530443951,2.892792248785261e-07,0.004775711134775567,0.01969577214942596,0.010069866710012487,9.622926997476286e-05,0.0004149632406927538,0.9994888074893323,carbon_15,PFT15,Active,asp,XGBRegressor
som,2,2,0.9999624711060646,4.951010505303847,1.0004115172495556,2.7985752375356454e-08,0.0009124633047352523,0.006126083082635511,inf,0.00019668594765274528,0.0049311217144362585,0.994872192337911,carbon_02,PFT02,Passive,asp,XGBRegressor
som,2,3,0.999904455061809,7.546627441015554,0.9994390723658696,7.124902176806235e-08,0.0016663965982773674,0.009774709110299477,inf,0.0013583425325031896,0.0027581795287301564,0.9958834779387667,carbon_03,PFT03,Passive,asp,XGBRegressor
som,2,4,0.9999919193105862,1.8322163057888972,1.0000786187224404,6.025868317564809e-09,0.0003258430295227736,0.002842655345597565,inf,0.0004903168143540553,0.0008454265300212777,0.9986642566556246,carbon_04,PFT04,Passive,asp,XGBRegressor
